Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels,Anaheim Angels see Los Angeles Angels
1,Arizona Diamondbacks,1998,2026,4510,2206,2304,.489,-98,5,2,1,7,656,2,20625,153772,39123,4827,.254,20927,4.29
2,Athletics,1901,2026,19514,9443,9984,.486,-541,17,15,9,29,2161,43,86189,661504,170237,14404,.257,89336,4.01
,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics,Also played as Oakland Athletics Kansas City Athletics and Philadelphia Athletics
3,Atlanta Braves,1876,2026,22454,11238,11062,.504,176,23,18,4,30,2184,56,100422,768739,199581,15295,.260,98817,3.67
,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds,Also played as Milwaukee Braves Boston Braves Boston Bees Boston Boston Doves Boston Nationals and Boston Reds
4,Baltimore Orioles,1901,2026,19554,9231,10213,.475,-982,10,7,3,16,2038,34,84455,664122,171245,14660,.258,89981,4.06
,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers,Also played as St. Louis Browns and Milwaukee Brewers
,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves,Boston Braves see Atlanta Braves
5,Boston Red Sox,1901,2026,19537,10075,9379,.518,696,10,14,9,26,1997,40,91220,668628,178314,14792,.267,87532,3.92
,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans,Also played as Boston Americans
,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers,Brooklyn Dodgers see Los Angeles Dodgers
